Date,CO2_Concentration,State
2009-12-31,396.85,CA
2010-01-31,397.89,CA
2010-02-28,395.33,CA
2010-03-31,395.24,CA
2010-04-30,396.57,CA
2010-05-31,395.37,CA
2010-06-30,393.03,CA
2010-07-31,387.4,CA
2010-08-31,386.48,CA
2010-09-30,392.13,CA
2010-10-31,395.97,CA
2010-11-30,398.6,CA
2010-12-31,398.12,CA
2011-01-31,396.32,CA
2011-02-28,396.01,CA
2011-03-31,397.16,CA
2011-04-30,400.9,CA
2011-05-31,401.0,CA
2011-06-30,396.18299973997085,CA
2011-07-31,391.0313766414155,CA
2011-08-31,388.89474703660073,CA
2011-09-30,392.0471870370475,CA
2011-10-31,397.05065567173676,CA
2011-11-30,400.3514652662658,CA
2011-12-31,400.8784131308362,CA
2012-01-31,400.97363939585307,CA
2012-02-29,399.9938617584626,CA
2012-03-31,400.36139399649636,CA
2012-04-30,403.0706871797128,CA
2012-05-31,402.5878637745156,CA
2012-06-30,398.5402696971623,CA
2012-07-31,393.35963795627094,CA
2012-08-31,391.210286528221,CA
2012-09-30,394.3814966441594,CA
2012-10-31,399.4147567052102,CA
2012-11-30,402.7352198307491,CA
2012-12-31,403.26530522443176,CA
2013-01-31,403.36109848136346,CA
2013-02-28,402.37548709633387,CA
2013-03-31,402.7452076781756,CA
2013-04-30,405.47063241217256,CA
2013-05-31,404.9849342017209,CA
2013-06-30,400.9132401230084,CA
2013-07-31,395.7017620992115,CA
2013-08-31,393.53961310022254,CA
2013-09-30,396.7297050918243,CA
2013-10-31,401.7929339619983,CA
2013-11-30,405.13316763871137,CA
2013-12-31,405.6664092428401,CA
2014-01-31,405.7627728676442,CA
2014-02-28,404.7712929999395,CA
2014-03-31,405.1432149553267,CA
2014-04-30,407.8848672898534,CA
2014-05-31,407.39627715711197,CA
2014-06-30,403.3003395819036,CA
2014-07-31,398.0578316116604,CA
2014-08-31,395.882808843015,CA
2014-09-30,399.09189513588916,CA
2014-10-31,404.1852712541125,CA
2014-11-30,407.54539319892024,CA
2014-12-31,408.0818098060603,CA
2015-01-31,408.17874719479533,CA
2015-02-28,407.1813639025617,CA
2015-03-31,407.55550033881315,CA
2015-04-30,410.31347689551376,CA
2015-05-31,409.82197762152987,CA
2015-06-30,405.7016522002966,CA
2015-07-31,400.4279295265051,CA
2015-08-31,398.2399563357871,CA
2015-09-30,401.4681500249421,CA
2015-10-31,406.59185289259386,CA
2015-11-30,409.9719815233215,CA
