Date,State,Coal_Consumption,Petrol_Consumption
11/30/1961,MI,2093.166667,10817.76667
11/30/1961,MN,503.4375,5644.391667
11/30/1961,MO,567.6291667,6240.75
11/30/1961,MS,2.016666667,2288.7375
11/30/1961,MT,31.1125,1803.779167
11/30/1961,NC,804.3083333,6839.966667
11/30/1961,ND,172.825,1448.4125
11/30/1961,NE,64.33333333,2198.020833
11/30/1961,NH,48.93333333,1342.7625
11/30/1961,NJ,649.2791667,14104.90417
11/30/1961,NM,10.75416667,1711.633333
11/30/1961,NV,11.49583333,1008.35
11/30/1961,NY,1930.833333,27247.87083
11/30/1961,OH,3754.633333,11483.65
11/30/1961,OK,4.483333333,4072.395833
11/30/1961,OR,34.04583333,3265.7
11/30/1961,PA,4576.3,16044.80417
11/30/1961,RI,42.58333333,1854.4625
11/30/1961,SC,340.7291667,3365.5
11/30/1961,SD,29.475,1364.433333
11/30/1961,TN,1189.954167,3693.866667
11/30/1961,TX,53.5125,25138.1125
11/30/1961,US,32239.49583,305519.75
11/30/1961,UT,246.4541667,1855.345833
11/30/1961,VA,1066.970833,6275.741667
11/30/1961,VT,12.9875,783.6625
11/30/1961,WA,53.325,5417.141667
11/30/1961,WI,1078.770833,5924.9
11/30/1961,WV,1336.195833,2019.0375
11/30/1961,WY,113.5625,1237.541667
12/31/1961,AK,60.65416667,816.3833333
12/31/1961,AL,1255.929167,3562.575
12/31/1961,AR,0.779166667,2653.595833
12/31/1961,AZ,0.833333333,2008.908333
12/31/1961,CA,223.6916667,28383.82917
12/31/1961,CO,288.0125,2804.204167
12/31/1961,CT,348.8166667,5349.4
12/31/1961,DC,78.025,802.8083333
12/31/1961,DE,68.62916667,1677.983333
12/31/1961,FL,142.5041667,9603.054167
12/31/1961,GA,303.0291667,4580.170833
12/31/1961,HI,0,1820.875
12/31/1961,IA,369.7083333,4245.920833
12/31/1961,ID,60.31666667,1215.504167
12/31/1961,IL,3247.441667,16623.225
12/31/1961,IN,2746.095833,8811.3875
12/31/1961,KS,43.59166667,3949.825
12/31/1961,KY,1004.966667,3135.329167
12/31/1961,LA,0,7532.066667
12/31/1961,MA,391.4125,12000.10833
12/31/1961,MD,728.3625,5083.141667
12/31/1961,ME,61.90416667,2582.095833
12/31/1961,MI,2088.5,10822.9
12/31/1961,MN,503.8125,5634.608333
12/31/1961,MO,563.6208333,6240.916667
12/31/1961,MS,1.983333333,2289.0125
12/31/1961,MT,31.80416667,1818.304167
12/31/1961,NC,808.3583333,6873.366667
12/31/1961,ND,172.675,1441.504167
12/31/1961,NE,63.66666667,2201.729167
12/31/1961,NH,51.06666667,1349.9875
12/31/1961,NJ,657.1375,14124.0125
12/31/1961,NM,10.49583333,1712.866667
12/31/1961,NV,11.42083333,1019.65
12/31/1961,NY,1912.166667,27417.04583
12/31/1961,OH,3719.033333,11448.85
12/31/1961,OK,4.35,4078.520833
12/31/1961,OR,34.20416667,3273.3
12/31/1961,PA,4543.366667,16019.1125
12/31/1961,RI,42.08333333,1831.954167
12/31/1961,SC,342.8541667,3369.666667
12/31/1961,SD,29.35833333,1365.9
12/31/1961,TN,1183.295833,3705.8
12/31/1961,TX,51.07083333,25174.30417
12/31/1961,US,32175.0875,305981.9167
12/31/1961,UT,243.6291667,1854.904167
12/31/1961,VA,1070.779167,6259.425
12/31/1961,VT,13.09583333,789.2541667
12/31/1961,WA,53.50833333,5427.191667
12/31/1961,WI,1079.979167,5923.1
12/31/1961,WV,1347.554167,2026.879167
12/31/1961,WY,115.6875,1245.291667
1/31/1962,AK,54.1875,786.1083333
1/31/1962,AL,1339.766667,3639.941667
1/31/1962,AR,0.729166667,2599.7125
1/31/1962,AZ,11.85833333,2031.7125
1/31/1962,CA,156.8125,27942.26667
1/31/1962,CO,277.2125,2768.666667
1/31/1962,CT,345.1416667,5405.991667
1/31/1962,DC,76.80416667,845.8833333
1/31/1962,DE,70.14166667,1759.3875
1/31/1962,FL,129.9458333,9965.575
1/31/1962,GA,294.4166667,4799.795833
1/31/1962,HI,0,1633.120833
1/31/1962,IA,411.475,4377.245833
1/31/1962,ID,61.08333333,1205.154167
1/31/1962,IL,3290.0375,16728.95
1/31/1962,IN,2721.991667,8956.741667
1/31/1962,KS,49.88333333,4016.1875
1/31/1962,KY,1002.3,3306.783333
1/31/1962,LA,0,7651.083333
1/31/1962,MA,387.2208333,11980.0875
1/31/1962,MD,753.4333333,5253.591667
1/31/1962,ME,60.94166667,2433.841667
1/31/1962,MI,2201.016667,10962.62917
1/31/1962,MN,500.1,5798.479167
1/31/1962,MO,621.0291667,6370.125
1/31/1962,MS,2.241666667,2380.125
1/31/1962,MT,29.3875,1754.804167
1/31/1962,NC,810.4208333,6839.929167
1/31/1962,ND,169.3375,1534.1
